"","state","frac_with_price","ad_count","unemp","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018","lths","hs","sc","coll.plus","ads.per.capita","ads.with.price.rate","frac_with_cup","age_count","ads.with.cup.rate","ads.with.age.rate","median.income","completeness","partial","black"
"1","Alabama",0.101090188305253,10090,6.58333333333333,4747424,42934,3307557,1244112,18195,12195,23593,46193,42564,54700,55079,30709,471910,82352,227286,89907,210681,74184,27399,17689,0.0596593015496404,0.0994033817076377,0.0841603783441294,0.756776938398593,0.00212536314430731,0.101090188305253,0.114767096134787,0.0326065411298315,0.114767096134787,0.0326065411298315,42934,0.248463825569871,0.127865815215488,0.262060435301334
"2","Alaska",0.173280423280423,756,6.31666666666667,700703,69014,472504,23426,1223,1093,1636,2989,2267,3466,4233,2939,67463,16722,47688,17003,35924,13711,4573,3318,0.0283229842030076,0.0962790226386929,0.116187600167261,0.759210392991039,0.0010789164596127,0.173280423280423,0.12037037037037,0.0291005291005291,0.12037037037037,0.0291005291005291,69014,0.322751322751323,0.115400184821783,0.0334321388662529
"3","Arizona",0.136354679802956,15225,7.975,6337373,50752,4987541,252127,22193,19848,46052,45912,37742,44431,48898,40587,486529,140284,363029,149974,346128,133912,41529,29155,0.0482318146651617,0.0767714003894042,0.103084827104228,0.771911957841206,0.00240241500697529,0.136354679802956,0.143448275862069,0.0395402298850575,0.143448275862069,0.0395402298850575,50752,0.319343185550082,0.135087985001445,0.0397841503095999
"4","Arkansas",0.0755778894472362,4975,7.33333333333333,2895928,40149,2271277,449283,10686,8051,15312,30822,22841,28901,32085,18136,330084,56484,137363,43371,119495,36535,15356,9347,0.0576098577036446,0.113982115577459,0.0819143293617797,0.746493697357117,0.0017179294512847,0.0755778894472362,0.0906532663316583,0.025929648241206,0.0906532663316583,0.025929648241206,40149,0.1921608040201,0.0920892498767232,0.155143014605335
"5","California",0.136216090888013,60382,8.89166666666667,36969200,61632,22860341,2252129,243288,214702,486253,235044,262942,214373,290957,316667,2464139,637004,1837959,816783,2216682,842685,313017,217408,0.0612462806877076,0.0666538361663222,0.0890402280817545,0.783059655064215,0.00163330556246822,0.136216090888013,0.209764499354112,0.0894140637938459,0.209764499354112,0.0894140637938459,61632,0.435394654035971,0.255200755759357,0.0609190623546087
"6","Colorado",0.136319548540693,11341,6.90833333333333,4966061,57685,4167044,195640,12500,11639,24952,24095,22308,24685,29897,24865,373269,94790,258878,116779,374121,148775,42409,29250,0.0352273159753777,0.075163998186893,0.0947324247527366,0.794876261084993,0.00228370130773665,0.136319548540693,0.175205008376686,0.0385327572524469,0.175205008376686,0.0385327572524469,57685,0.350057314169826,0.151222983980572,0.0393954081514504
"7","Connecticut",0.134164104223984,6179,7.93333333333333,3558172,69243,2796198,347941,10257,8056,13984,22610,16636,22133,21741,20390,327186,59088,134500,68406,236672,119519,40468,22966,0.0381676321436963,0.0919533962945018,0.0736316288251383,0.796247342736664,0.00173656585460174,0.134164104223984,0.187732642822463,0.0624696552840265,0.187732642822463,0.0624696552840265,69243,0.384366402330474,0.218380236970145,0.0977864476478371
"8","Delaware",0.106177606177606,518,7.025,890856,59317,630804,188519,2595,1760,3162,5623,5887,7468,7888,4209,89036,17669,38874,17645,46411,20618,6832,6351,0.0433201325466742,0.0999443232127302,0.0832772075397146,0.773458336700881,0.000581463221889958,0.106177606177606,0.138996138996139,0.0328185328185328,0.138996138996139,0.0328185328185328,59317,0.277992277992278,0.127662570003289,0.211615569744156
"9","Florida",0.144102367420941,28681,7.06666666666667,18688787,47827,14270053,2946899,74547,56523,111680,124283,124552,154296,158419,152422,1826792,376911,870788,480337,1060716,382720,162235,82138,0.0511923004954789,0.0977480239889298,0.0924637859054202,0.758595889610171,0.00153466353915853,0.144102367420941,0.128098741327011,0.040061364666504,0.128098741327011,0.040061364666504,47827,0.312262473414456,0.1692973653889,0.157682732432019
"10","Georgia",0.1385,18000,8.3,9600612,49736,5849795,2922448,35962,27198,55008,73152,75645,95289,90450,49128,871947,154626,420954,169023,523196,184729,64460,38125,0.0522708344009736,0.0908220225960595,0.0775578681859031,0.779349274817064,0.00187488047636963,0.1385,0.115444444444444,0.0251666666666667,0.115444444444444,0.0251666666666667,49736,0.279111111111111,0.139717862703737,0.304402261022526
"11","Hawaii",0.113950565563469,2387,4.675,1346554,67116,335908,21628,3709,2563,5303,5625,4530,6572,6647,6153,134175,24197,77429,42711,84598,27288,11456,6652,0.0305238408559924,0.0996432374787792,0.107189908462639,0.76264301320259,0.00177267306027088,0.113950565563469,0.162966066191873,0.0377042312526183,0.162966066191873,0.0377042312526183,67116,0.31462086300796,0.123189546603139,0.0160617398188264
"12","Idaho",0.151222285389426,1759,6.33333333333333,1549987,46890,1431372,8823,4620,3087,7141,8494,6780,9599,10116,8289,134457,36704,87518,38707,80939,26691,9535,7047,0.0375009596854683,0.0867471791698898,0.105116365492098,0.770635495652544,0.00113484822775933,0.151222285389426,0.156907333712337,0.0409323479249574,0.156907333712337,0.0409323479249574,46890,0.34906196702672,0.167447001926154,0.0056923058064358
"13","Illinois",0.131967056119517,15663,9.1,12790182,56576,9214977,1859608,40387,27876,80054,91753,62926,82793,91113,83349,1121657,253976,579032,264315,769900,315755,109261,55916,0.0438032078042361,0.0876967192491866,0.0857941661815289,0.782705906765048,0.00122461119005187,0.131967056119517,0.153546574730256,0.0419459873587435,0.153546574730256,0.0419459873587435,56576,0.327459618208517,0.16226694829928,0.145393396278489
"14","Indiana",0.119022154316272,6545,8.1,6454254,48393,5482893,576304,16701,7102,18890,49561,38784,56701,56433,37514,728459,133024,276346,136145,300157,107617,35908,24996,0.0436434636752753,0.112864941478907,0.08452022495551,0.758971369890308,0.00101405987430925,0.119022154316272,0.105576776165011,0.0307104660045837,0.105576776165011,0.0307104660045837,48393,0.255309396485867,0.129755064891654,0.0892905671205379
"15","Iowa",0.110189831987781,4583,4.69166666666667,3032266,50451,2782349,85714,6133,3305,6376,23895,12454,15354,19602,13954,339579,68890,133863,86774,160851,48264,18582,12355,0.0333324978745268,0.111988526072581,0.0954820586320593,0.759196917420833,0.00151141093822244,0.110189831987781,0.165175649138119,0.032511455378573,0.165175649138119,0.032511455378573,50451,0.307876936504473,0.159058814018856,0.0282673090025743
"16","Kansas",0.0890625,3200,5.56666666666667,2830985,50594,2412703,163063,5989,4659,10611,18603,12914,14771,18008,12044,257933,66207,139548,57093,172260,60550,20836,12930,0.0344752798054387,0.0911106911551986,0.0928468359952455,0.781567193044117,0.00113034862424209,0.0890625,0.0840625,0.0234375,0.0840625,0.0234375,50594,0.1965625,0.024665347678314,0.0575993867858713
"17","Kentucky",0.164196387216304,4318,8.16666666666667,4316040,42248,3808381,336628,15645,12531,19659,69393,37551,47209,44636,24462,493234,83885,181711,72227,172607,68130,28008,14279,0.0628089637723469,0.114279293055671,0.0782715174094772,0.744640225762504,0.00100045411998035,0.164196387216304,0.112320518758685,0.0294117647058824,0.112320518758685,0.0294117647058824,42248,0.305928670680871,0.213165727505498,0.0779946432377828
"18","Louisiana",0.115305741983594,10728,6.46666666666667,4484596,44086,2838981,1429820,18353,11174,23409,49951,38726,52279,58187,26318,486723,73566,210535,54181,188436,52220,28004,15107,0.0620785016086176,0.108532184392975,0.0754319898604021,0.753957324138005,0.00239218872781406,0.115305741983594,0.105984340044743,0.0238627889634601,0.105984340044743,0.0238627889634601,44086,0.245152870991797,0.145228836244049,0.31882916543653
"19","Maine",0.0899280575539568,1112,6.85833333333333,1328543,47898,1268113,13979,2505,1174,2245,12182,7789,8931,8992,5447,158924,26485,59795,35711,74153,26913,10294,6120,0.0370819762702449,0.119622774723889,0.0918231476135887,0.751472101392277,0.000837007157464982,0.0899280575539568,0.188848920863309,0.0323741007194245,0.188848920863309,0.0323741007194245,47898,0.311151079136691,0.181285757163631,0.0105220531062977
"20","Maryland",0.149590617393229,9038,6.675,5736545,72419,3397326,1683842,16663,11900,25499,32557,31824,40890,39970,29749,475070,102528,240306,94952,356064,183271,64497,54948,0.0399285632728411,0.0828146558599296,0.076315273391911,0.800941507475318,0.00157551278687782,0.149590617393229,0.141624253153353,0.0368444346094269,0.141624253153353,0.0368444346094269,72419,0.328059305156008,0.147425770022336,0.29352894468709
"21","Massachusetts",0.0795537822652878,12281,6.86666666666667,6512227,65981,5294754,431907,24606,17094,20915,37518,30442,38787,34802,35547,564830,100243,228398,132518,466833,225643,69319,61052,0.0368093741204046,0.0867337701833797,0.0708143312571874,0.805642524439028,0.00188583721052721,0.0795537822652878,0.172868658903998,0.0575686019053823,0.172868658903998,0.0575686019053823,65981,0.309991043074668,0.141084221176342,0.0663224730956092
"22","Michigan",0.155260611088069,14466,8.725,9920621,48669,7869573,1395245,29743,10437,21211,53738,45981,79733,89376,58358,981042,242114,502293,223292,493863,212902,69136,40732,0.0391686165614028,0.0988891723612867,0.0975441960740159,0.764398015003295,0.00145817484611094,0.155260611088069,0.15850960873773,0.0305544034287294,0.15850960873773,0.0305544034287294,48669,0.344324623254528,0.18488005663805,0.140640893347302
"23","Minnesota",0.115276211950395,3548,5.125,5278190,58476,4556910,264751,13150,4893,10580,30832,16509,24537,26957,25258,479030,107330,266228,157491,359342,115815,44355,24450,0.0289334033068154,0.0907564903878034,0.100611952203312,0.779698154102069,0.000672200129210961,0.115276211950395,0.198985343855693,0.0448139797068771,0.198985343855693,0.0448139797068771,58476,0.359075535512965,0.167551834392489,0.0501594296529682
"24","Mississippi",0.109420916162489,5785,8.83333333333333,2956700,38718,1767875,1094596,13052,8131,15570,32447,25309,38620,38122,20124,283251,48627,145069,57102,107140,35581,15580,10419,0.0647258768221328,0.0957997091351845,0.0848236209287381,0.754650793113945,0.00195657320661548,0.109420916162489,0.0817631806395851,0.0226447709593777,0.0817631806395851,0.0226447709593777,38718,0.213828867761452,0.0970422196666591,0.370208678594379
"25","Missouri",0.164438335624141,8003,6.675,5955802,47202,4957147,686044,12714,6315,13207,51664,33334,51179,55006,31295,621762,129507,283460,115023,304491,115497,40499,24961,0.0427673720516565,0.104396015851434,0.0886513688668629,0.764185243230047,0.00134373170901249,0.164438335624141,0.140447332250406,0.0302386605023116,0.140447332250406,0.0302386605023116,47202,0.335124328376859,0.195358570435791,0.115189188626486
"26","Montana",0.157728706624606,317,5.39166666666667,982854,45324,881905,4403,1156,405,850,7277,3600,6016,6153,4806,104064,20054,58211,23897,60824,19145,7322,4908,0.0307909414826617,0.105879408335317,0.103944227728635,0.759385422453386,0.000322530101113695,0.157728706624606,0.116719242902208,0.0473186119873817,0.116719242902208,0.0473186119873817,45324,0.321766561514196,0.159519123985221,0.00447981083660442
"27","Nebraska",0.122250423011844,2364,3.88333333333333,1813061,50695,1600661,79828,3998,3682,6021,11387,6943,8149,10792,8408,168631,41857,90685,51226,106399,31754,13147,8216,0.0327512422361961,0.0930090052127314,0.10135786937119,0.772881883179882,0.00130387229111431,0.122250423011844,0.158206429780034,0.0346869712351946,0.158206429780034,0.0346869712351946,50695,0.315143824027073,0.136421663334003,0.0440294066222813
"28","Nevada",0.0916428013538141,7682,9.43333333333333,2673396,55553,1960913,214360,10114,8153,22476,15858,17623,18276,24510,24202,258524,61190,162417,61143,131000,42724,17531,8742,0.0528212056874477,0.09670247131364,0.106512465792572,0.74396385720634,0.00287349872596503,0.0916428013538141,0.16310856547774,0.0555844832074981,0.16310856547774,0.0555844832074981,55553,0.310335850039052,0.149280588097247,0.0801826590598624
"29","New Hampshire",0.0785854616895874,509,5.3,1315911,64664,1241530,14520,2034,936,2035,8688,6110,8718,8164,6080,131568,24699,56844,35709,91243,38083,9582,7258,0.0324983984479194,0.0999824456213224,0.0891032904200968,0.778415865510661,0.000386804274757183,0.0785854616895874,0.0884086444007859,0.068762278978389,0.0884086444007859,0.068762278978389,64664,0.235756385068762,0.0644307563588219,0.0110341808830536
"30","New Jersey",0.125230542235338,5422,8.56666666666667,8753064,71180,6095247,1180649,28793,24408,46849,55583,37407,53113,56485,52905,809442,139358,339058,147919,617379,263750,85919,51633,0.0406192620092804,0.0924752749437226,0.0715560859602992,0.795349377086698,0.000619440232585984,0.125230542235338,0.158059756547399,0.0555145702692733,0.158059756547399,0.0555145702692733,71180,0.33880486905201,0.176263676326573,0.134884081734122
"31","New Mexico",0.127741439015006,2599,6.69166666666667,2037136,44631,1467191,41082,8323,9347,18175,15225,14638,17462,19431,10962,174374,36325,107856,42889,91223,43533,13139,14820,0.0557464008293997,0.0855976233300084,0.0918299023727429,0.766826073467849,0.00127581074606703,0.127741439015006,0.153520584840323,0.0315505963832243,0.153520584840323,0.0315505963832243,44631,0.312812620238553,0.1625459245004,0.0201665475451811
"32","New York",0.107317073170732,34030,7.73333333333333,19302448,56951,12768805,3013740,91846,53906,128111,146413,106380,144872,144039,141396,1711903,284915,729248,450649,1159340,522325,209329,101564,0.0495772867773041,0.0886883881256927,0.0758873693119132,0.78584695578509,0.00176298881882754,0.107317073170732,0.152541874816339,0.0582721128416103,0.152541874816339,0.0582721128416103,56951,0.318131060828681,0.168555812540991,0.156132527853462
"33","North Carolina",0.18811512475395,18797,8.56666666666667,9418736,46291,6560948,2016228,37124,27673,55436,81171,84513,101311,89443,44990,844747,175109,425355,212020,508258,168821,57277,43868,0.055385457241821,0.0896879368951418,0.0862625303437744,0.768664075519263,0.00199570303276363,0.18811512475395,0.143320742671703,0.0353247858700857,0.143320742671703,0.0353247858700857,46291,0.366760653295739,0.224676236321435,0.214065666560778
"34","North Dakota",0.0848861283643892,2415,3.00833333333333,666783,49415,602373,7231,1274,540,737,9385,2023,3733,3204,2660,61910,13492,36891,26395,38862,9578,3546,2490,0.0353278352927414,0.0928487978847691,0.115146906864752,0.756676459957737,0.00362186798403679,0.0848861283643892,0.145341614906832,0.0157349896480331,0.145341614906832,0.0157349896480331,49415,0.245962732919255,0.0590363576783521,0.010844607615971
"35","Ohio",0.1437020037073,11329,7.2,11525536,48071,9592249,1395378,28643,10616,18926,70254,56915,96005,112162,68937,1307334,243923,497164,232347,581078,220445,78048,46560,0.0401246414917276,0.113429345064733,0.0844588919769111,0.761987121466629,0.000982947777873411,0.1437020037073,0.168505605084297,0.0338070438697149,0.168505605084297,0.0338070438697149,48071,0.346014652661312,0.217732426092599,0.121068382416228
"36","Oklahoma",0.10613776467435,3731,5.21666666666667,3714520,44287,2743563,270192,10086,7908,17493,25488,23666,31421,37651,20315,376747,79917,192933,72406,179074,58379,22040,13622,0.0468507371073517,0.101425487007743,0.092947675608154,0.758776100276752,0.00100443664322712,0.10613776467435,0.0935406057357277,0.0404717233985527,0.0935406057357277,0.0404717233985527,44287,0.24015009380863,0.099741932493815,0.0727394118217159
"37","Oregon",0.151912399753239,6484,7.85,3801991,49850,3245856,68155,10730,9233,18009,19268,17701,23952,27751,24440,313993,96024,224420,99116,233086,87117,31059,21413,0.0397381266815203,0.0825864658806399,0.110352707305199,0.767322700132641,0.00170542223798005,0.151912399753239,0.217458359037631,0.0411782850092535,0.217458359037631,0.0411782850092535,49850,0.410549043800123,0.219091971341963,0.0179261339650725
"38","Pennsylvania",0.141996919198992,14282,7.60833333333333,12660739,51651,10473096,1358759,34571,12606,24755,85764,66379,104960,105929,68864,1530119,218301,449467,270276,691457,272768,98689,65777,0.0397945175238191,0.120855425579818,0.0740907777974098,0.765259279098953,0.00112805421547668,0.141996919198992,0.151519395042711,0.042501050273071,0.151519395042711,0.042501050273071,51651,0.336017364514774,0.222688233065322,0.107320670618042
"39","Rhode Island",0.115330520393812,711,9.10833333333333,1053959,55975,863294,62682,5516,3803,4842,9180,7029,9690,8461,6999,90750,17614,40226,24045,64473,26129,8969,5628,0.0526775709491546,0.0861039186533822,0.0776927755254237,0.78352573487204,0.000674599296557077,0.115330520393812,0.213783403656821,0.0450070323488045,0.213783403656821,0.0450070323488045,55975,0.374120956399437,0.223856351081009,0.0594729016973146
"40","South Carolina",0.180386426367917,6159,7.91666666666667,4575864,44587,3075318,1281627,16783,13222,24077,37557,38019,50291,47209,29033,446515,79697,197401,106526,229881,79097,26851,16604,0.0559874594175002,0.0975804787904536,0.0838364077254044,0.762595654066642,0.00134597531744825,0.180386426367917,0.107160253287871,0.0365319045299562,0.107160253287871,0.0365319045299562,44587,0.324078584185744,0.196139765017165,0.280084154599
"41","South Dakota",0.115702479338843,121,3.94166666666667,807697,48010,697042,9347,1307,640,1014,10178,3397,4405,4474,3668,87011,15090,38966,22731,45145,12636,5083,3286,0.0360073146241722,0.107727278917713,0.0950690667416123,0.761196339716503,0.000149808653492584,0.115702479338843,0.12396694214876,0.0165289256198347,0.12396694214876,0.0165289256198347,48010,0.256198347107438,0.107239446051651,0.0115724089602908
"42","Tennessee",0.131886477462437,9584,8.15833333333333,6297991,43989,4949985,1048714,21891,16051,30363,72741,45805,63286,69063,39399,674666,117329,285017,101903,301034,100060,39428,27427,0.0569386332879802,0.107124001923788,0.080065055666164,0.755872309122068,0.00152175511206669,0.131886477462437,0.134077629382304,0.0342237061769616,0.134077629382304,0.0342237061769616,43989,0.300187813021703,0.189088554376759,0.166515639669857
"43","Texas",0.106861245145345,33988,6.33333333333333,24774187,50920,18093212,2917108,133713,135007,282033,197626,234779,186974,206540,135156,1907437,435086,1184739,454418,1310504,459658,145048,98507,0.0610243234217938,0.0769929200905765,0.0837259765577777,0.778256779929852,0.00137191182096107,0.106861245145345,0.148640696716488,0.0456043309403319,0.148640696716488,0.0456043309403319,50920,0.301106272802165,0.147282171130632,0.117747880081796
"44","Utah",0.0913793103448276,2900,4.70833333333333,2715379,57783,2426175,29056,4938,3339,8967,6890,8465,10619,16971,15221,177757,54262,144355,62993,157340,60631,18561,14003,0.0277714455330177,0.0654630532238778,0.0963438253002619,0.810421675942843,0.00106799087714827,0.0913793103448276,0.153793103448276,0.0403448275862069,0.153793103448276,0.0403448275862069,57783,0.28551724137931,0.0649558070947813,0.0107005320435932
"45","Vermont",0.053030303030303,132,4.38333333333333,624958,53422,596736,5464,976,408,827,5119,2975,4220,4154,2715,71059,10147,22969,15102,39843,16821,5561,4149,0.0342327004374694,0.11370204077714,0.077153984747775,0.774911274037615,0.00021121419359381,0.053030303030303,0.0606060606060606,0.0303030303030303,0.0606060606060606,0.0303030303030303,53422,0.143939393939394,0.0114922620799338,0.00874298752876193
"46","Virginia",0.141863094720362,11497,5.48333333333333,7926192,63302,5526985,1545568,26058,17895,36565,69356,48263,65489,63529,37806,654182,140086,341546,144773,494445,267210,75770,51573,0.0460449355756207,0.082534210627247,0.0790297535058449,0.792391100291287,0.00145050738109801,0.141863094720362,0.134904757762895,0.032530225276159,0.134904757762895,0.032530225276159,63302,0.309298077759415,0.140145209065343,0.194995024092275
"47","Washington",0.182949889694296,12692,7.00833333333333,6652845,58890,5256224,233549,21279,13996,25779,28962,25803,34844,42482,39577,520327,159922,363304,192373,444899,171423,53377,37680,0.0349808239933442,0.0782112013732471,0.107562854688483,0.779245119944926,0.00190775525357948,0.182949889694296,0.246927198235109,0.0792625275764261,0.246927198235109,0.0792625275764261,58890,0.50913961550583,0.301888239412684,0.0351051317143267
"48","West Virginia",0.125947521865889,1715,6.43333333333333,1846372,39550,1736461,58296,5678,3385,7302,28593,18289,23680,20371,8509,260588,32845,74741,29569,67399,24140,10837,6139,0.0627213800902527,0.141135155862416,0.0742835138314489,0.721859950215883,0.000928848574393459,0.125947521865889,0.122448979591837,0.0221574344023324,0.122448979591837,0.0221574344023324,39550,0.270553935860058,0.217387130535983,0.0315732690920356
"49","Wisconsin",0.104946897708217,7156,6.76666666666667,5664893,52374,4941085,352620,12725,5173,12262,37258,20486,34161,45180,34911,629152,120161,258927,156634,307535,108084,36970,22733,0.0356857578775098,0.111061585805769,0.094568776497632,0.758683879819089,0.00126321891693276,0.104946897708217,0.14491335941867,0.0285075461151481,0.14491335941867,0.0285075461151481,52374,0.278367803242035,0.130069196429789,0.0622465419911726
"50","Wyoming",0.0431654676258993,139,4.65,554697,56380,506661,4309,648,511,980,2854,2136,2696,3443,2453,59314,14326,34269,15866,28590,10202,2999,2336,0.0283415991072604,0.106930450317921,0.116209389991293,0.748518560583526,0.000250587257547814,0.0431654676258993,0.107913669064748,0.0215827338129496,0.107913669064748,0.0215827338129496,56380,0.172661870503597,-0.010636983918127,0.00776820498398225
